FALL 2025,,,LEAGUE LOGISTICS,,,,,,,,REGISTRATION,PREFERRED REGISTRATION TIMELINE,,,,,,,,,DEADLINES,,,,,
"DAY OF WEEK
Type of Play/League",,League Details,Season Start Date,"Season 
End Date",Price,League Play Time(s),"Location
(Field / Court / Lane)",League Contact Email(s),How Vet Status is Determined,Additional Information?,Sport Wide-specific questions you want during regisration:,"WTNB/BIPOC/TNB 
Register","Vet 
Register","Open 
Register",Product Scheduled Successfully to Go Live?,Product URL,Vet Registration Variant ID,Early Registration Variant ID,Open Registration Variant ID,Waitlist Registration Variant ID,Registration Email Deployment Date,"Email / Creative
Draft for Edits","Registration 
Email Complete",Other Back-End Prep????,Squarespace Reg Form,Squarespace Page Ready
DODGEBALL,"SUNDAY 

WTNB+
Advanced Foam
Randomized/Draft TBD","6 teams of 10
60 players

NOTE: SKIPPING 11/9 to accommodate for all sports charity awards event.",10-19-2025,12/14/25,$120,"4:15-5:45



","VCS
272 W 10th Street","elizabeth.lawson.keister@bigapplerecsports.com
vanessa.danek@bigapplerecsports.com",Spring 2025 Vet Status,,,"SECOND REGISTRATION
TNB
Tues, Sept. 9th, 6pm
","FIRST
REGISTRATION

Mon, Sept.8th, 7pm
","THIRD
REGISTRATION

Wed, Sept. 10th, 6pm",TRUE,https://admin.shopify.com/store/09fe59-3/products/7450369130590,gid://shopify/ProductVariant/42006406758494,gid://shopify/ProductVariant/42006406922334,gid://shopify/ProductVariant/42006406955102,gid://shopify/ProductVariant/42006406987870,,,,,,
,"SUNDAY 

Open
Advanced No-Sting
Randomized Teams","10 teams of 12
120 players

NOTE: SKIPPING 11/9 to accommodate for all sports charity awards event.",10-19-2025,12/14/2025,$120,"5:45-8





","VCS
272 W 10th Street","ryan.maher@bigapplerecsports.com
ian.schmoke@bigapplerecsports.com
",Spring 2025 Vet Status,,,"SECOND REGISTRATION

Friday, Sept. 12th, 6pm
","FIRST
REGISTRATION

Thurs, Sept. 11, 7pm
","THIRD
REGISTRATION

Mon, Sept. 15th, 7pm",TRUE,https://admin.shopify.com/store/09fe59-3/products/7450377093214,gid://shopify/ProductVariant/42006416326750,gid://shopify/ProductVariant/42006416556126,gid://shopify/ProductVariant/42006416588894,gid://shopify/ProductVariant/42006416621662,,,,,,
,"MONDAY  

Open
Social Big Ball
Randomized - Buddy Sign Ups","Newbie Night/Open Play - 10/6/25

No games on Indigineous Peoples Day 10/13",10-20-2025,12/8/2025,$120,6:30-10,"Hartley House
413 W 46th Street","chance.hamlin@bigapplerecsports.com
tenni.tenerelli@bigapplerecsports.com",Spring 2025 Vet Status,,,"SECOND REGISTRATION

Weds, Sept. 3rd, 6pm
","FIRST
REGISTRATION

Tues, Sept. 2nd, 7pm
","THIRD
REGISTRATION

Thurs, Sept. 4th, 6pm",TRUE,https://admin.shopify.com/store/09fe59-3/products/7449874202718,gid://shopify/ProductVariant/42003241762910,gid://shopify/ProductVariant/42003243106398,gid://shopify/ProductVariant/42003243139166,gid://shopify/ProductVariant/42003243171934,,,,,,
,"TUESDAY  

Open
Social Small Ball
Randomized - Buddy Sign Ups","Newbie Night - 10/14/25

No games on Veteran's Day 11/11",10-07-2025,11/25/2025,$120,6:30-10,"PS3
490 Hudson St","gabe.braden@bigapplerecsports.com
chris.carter@bigapplerecsports.com",Spring 2025 Vet Status,,,"SECOND REGISTRATION

Friday, Sept. 12th, 6pm
","FIRST
REGISTRATION

Thurs, Sept. 11, 7pm
","THIRD
REGISTRATION

Mon, Sept. 15th, 7pm",TRUE,https://admin.shopify.com/store/09fe59-3/products/7450381877342,gid://shopify/ProductVariant/42006427566174,gid://shopify/ProductVariant/42006427697246,gid://shopify/ProductVariant/42006427730014,gid://shopify/ProductVariant/42006427762782,,,,,,
,"WEDNESDAY

WTNB+
Social Small Ball
Randomized Teams","Newbie Night - 10/15/25

No games on Halloween Party 10/29",10-08-2025,11/26/25,$120,6:30-10,"PS3
490 Hudson St","sarah.wood@bigapplerecsports.com
michelle.kraidman@bigapplerecsports.com",Spring 2025 Vet Status,,,"SECOND REGISTRATION
TNB
Tues, Sept. 9th, 6pm
","FIRST
REGISTRATION

Mon, Sept.8th, 7pm
","THIRD
REGISTRATION

Wed, Sept. 10th, 6pm",TRUE,https://admin.shopify.com/store/09fe59-3/products/7452597878878,gid://shopify/ProductVariant/42017505050718,gid://shopify/ProductVariant/42017506361438,gid://shopify/ProductVariant/42017506394206,gid://shopify/ProductVariant/42017506426974,,,,,,
,"THURSDAY

Open
Social Foam Ball
Randomized - Buddy",Newbie Night 10/9/25 No games 11/27 because of Thanksgiving ,10-16-25,12-11-2025,$120,6:30-10,"Hartley House
413 W 46th Street","chris.bonet@bigapplerecsports.com
jack.zheng@bigapplerecsports.com",Spring 2025 Vet Status,,,"SECOND REGISTRATION

Weds, Sept. 3rd, 6pm
","FIRST
REGISTRATION

Tues, Sept. 2nd, 7pm
","THIRD
REGISTRATION

Thurs, Sept. 4th, 6pm",TRUE,https://admin.shopify.com/store/09fe59-3/products/7449874858078,gid://shopify/ProductVariant/42003247792222,gid://shopify/ProductVariant/42003284951134,gid://shopify/ProductVariant/42003284983902,gid://shopify/ProductVariant/42003285016670,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
PICKLEBALL,"SUNDAY

Open
Social
Buddy-Sign Up","Total # of Weeks: 8
Regular Season: 7 weeks
Tournament Date: TBD
Closing Party: Date TBD

Newbie night Oct 12
Skipping 11/9 and 11/30

# of Teams: 32
# of Players: 128

Game Duration: Teams play Four 15 min matches",October 12,Dec 7,$140,4-7:30PM,John Jay College,pickleball.social@bigapplerecsports.com,6/8 attendance from Summer 2025,,,Sept 18th 7PM,Sept 17th 7PM,Sept 19th 7PM,FALSE,,,,,,,,,,,
,"SUNDAY

WTNB+
Social
Buddy-Sign Up","Total # of Weeks: 8
Regular Season: 7 weeks
Newbie Night: n/a
Tournament Date: Dec 7
Closing Party: Date TBD

Skipping 11/9 and 11/30

# of Teams: 9
# of Players: 72   ",October 12,Dec 7,$145,12-3PM,John Jay College,pickleball.wtnb@bigapplerecsports.com,6/8 attendance from Summer 2025,,,Sept 18th 7PM,Sept 17th 7PM,Sept 19th 7PM,FALSE,,,,,,,,,,,
,"TUESDAY

Open
Competitive/Advanced
Buddy-Sign Up","Total # of Weeks: 9
Regular Season: 8 weeks
Tournament Date: 
Closing Party: Date TBD

Skipping 11/25
Tournament Date: Dec 9

# of Teams: 16
# of Players: 64 (4 players per team)

All teams play two 45 min matches per night",Oct 14th,Dec 9th,$150,8-11pm,Gotham Pickleball,pickleball.advanced@bigapplerecsports.com,6/8 attendance from Summer 2025,,,Sept 17th 7PM,"Sept 16th 7PM

Only holding 40 vet spots ",Sept 18th 7PM,FALSE,,,,,,,,,,,
,"THURSDAY

Open Ladder
Intermediate/Advanced
Social","Total # of Weeks: 6
Regular Season: 6 weeks
Tournament Date: n/a
Closing Party: Date TBD

# of Players: 48 (8 per court)
",Oct 16th,Nov 20,$150,7-10pm,Pickle1,pickleball@bigapplerecsports.com,none,,,Sept 22 7PM,n/a,Sept 23 7PM,FALSE,,,,,,,,,,,
